rider_name,rider_url,rider_number,team_name,team_url,rank,status,age,nationality,time,bonus,pcs_points,uci_points
FRETIN Milan,rider/milan-fretin,41,Cofidis,team/cofidis-2025,118,DF,24,BE,4:06:32,0:00:00,0,0.0
TRATNIK Jan,rider/jan-tratnik,8,Red Bull - BORA - hansgrohe,team/red-bull-bora-hansgrohe-2025,119,DF,35,SI,4:06:32,0:00:00,0,0.0
LONARDI Giovanni,rider/giovanni-lonardi,174,Team Polti VisitMalta,team/team-polti-visitmalta-2025,120,DF,28,IT,4:06:32,0:00:00,0,0.0
FORTUNATO Lorenzo,rider/lorenzo-fortunato,223,XDS Astana Team,team/xds-astana-team-2025,121,DF,29,IT,4:06:32,0:00:00,0,0.0
EPIS Giosuè,rider/giosue-epis,22,Arkéa - B&B Hotels,team/arkea-b-b-hotels-2025,122,DF,23,IT,4:06:32,0:00:00,0,0.0
KUZMIN Anton,rider/anton-kuzmin,225,XDS Astana Team,team/xds-astana-team-2025,123,DF,28,KZ,4:06:32,0:00:00,0,0.0
TURNER Ben,rider/ben-turner,88,INEOS Grenadiers,team/ineos-grenadiers-2025,124,DF,25,GB,4:06:32,0:00:00,0,0.0
BUSATTO Francesco,rider/francesco-busatto,92,Intermarché - Wanty,team/intermarche-wanty-2025,125,DF,22,IT,4:06:32,0:00:00,0,0.0
MOZZATO Luca,rider/luca-mozzato,25,Arkéa - B&B Hotels,team/arkea-b-b-hotels-2025,126,DF,27,IT,4:06:32,0:00:00,0,0.0
VERRE Alessandro,rider/alessandro-verre,21,Arkéa - B&B Hotels,team/arkea-b-b-hotels-2025,127,DF,23,IT,4:06:32,0:00:00,0,0.0
MOSCON Gianni,rider/gianni-moscon,6,Red Bull - BORA - hansgrohe,team/red-bull-bora-hansgrohe-2025,128,DF,31,IT,4:06:32,0:00:00,0,0.0
PLUIMERS Rick,rider/rick-pluimers,194,Tudor Pro Cycling Team,team/tudor-pro-cycling-team-2025,129,DF,24,NL,4:06:32,0:00:00,0,0.0
HEPBURN Michael,rider/michael-hepburn,156,Team Jayco AlUla,team/team-jayco-alula-2025,130,DF,33,AU,4:06:32,0:00:00,0,0.0
WARBASSE Larry,rider/lawrence-warbasse,197,Tudor Pro Cycling Team,team/tudor-pro-cycling-team-2025,131,DF,34,US,4:06:32,0:00:00,0,0.0
DENZ Nico,rider/nico-denz,3,Red Bull - BORA - hansgrohe,team/red-bull-bora-hansgrohe-2025,132,DF,31,DE,4:06:32,0:00:00,0,0.0
THIJSSEN Gerben,rider/gerben-thijssen,96,Intermarché - Wanty,team/intermarche-wanty-2025,133,DF,26,BE,4:06:32,0:00:00,0,0.0
MARCELLUSI Martin,rider/martin-marcellusi,214,VF Group - Bardiani CSF - Faizanè,team/vf-group-bardiani-csf-faizane-2025,134,DF,25,IT,4:06:32,0:00:00,0,0.0
MUÑOZ Francisco,rider/francisco-munoz-llana,176,Team Polti VisitMalta,team/team-polti-visitmalta-2025,135,DF,23,ES,4:06:32,0:00:00,0,0.0
DE BONDT Dries,rider/dries-de-bondt,53,Decathlon AG2R La Mondiale Team,team/decathlon-ag2r-la-mondiale-2025,136,DF,33,BE,4:06:32,0:00:00,0,0.0
COLLEONI Kevin,rider/kevin-colleoni,93,Intermarché - Wanty,team/intermarche-wanty-2025,137,DF,25,IT,4:06:32,0:00:00,0,0.0
KRIEGER Alexander,rider/alexander-krieger,193,Tudor Pro Cycling Team,team/tudor-pro-cycling-team-2025,138,DF,33,DE,4:06:32,0:00:00,0,0.0
BRENNER Marco,rider/marco-brenner,192,Tudor Pro Cycling Team,team/tudor-pro-cycling-team-2025,139,DF,22,DE,4:06:32,0:00:00,0,0.0
KANTER Max,rider/max-kanter,224,XDS Astana Team,team/xds-astana-team-2025,140,DF,27,DE,4:06:32,0:00:00,0,0.0
LAMPERTI Luke,rider/luke-lamperti,147,Soudal Quick-Step,team/soudal-quick-step-2025,141,DF,22,US,4:06:32,0:00:00,0,0.0
PLAPP Luke,rider/luke-plapp,157,Team Jayco AlUla,team/team-jayco-alula-2025,142,DF,24,AU,4:06:32,0:00:00,0,0.0
MAGNIER Paul,rider/paul-magnier,148,Soudal Quick-Step,team/soudal-quick-step-2025,143,DF,21,FR,4:06:32,0:00:00,0,0.0
GUDMESTAD Tord,rider/tord-gudmestad,56,Decathlon AG2R La Mondiale Team,team/decathlon-ag2r-la-mondiale-2025,144,DF,24,NO,4:06:32,0:00:00,0,0.0
BENNETT Sam,rider/sam-bennett,51,Decathlon AG2R La Mondiale Team,team/decathlon-ag2r-la-mondiale-2025,145,DF,34,IE,4:06:32,0:00:00,0,0.0
VAN HOECKE Gijs,rider/gijs-van-hoecke,98,Intermarché - Wanty,team/intermarche-wanty-2025,146,DF,33,BE,4:06:32,0:00:00,0,0.0
HEIDUK Kim,rider/kim-heiduk,85,INEOS Grenadiers,team/ineos-grenadiers-2025,147,DF,25,DE,4:06:32,0:00:00,0,0.0
VAN UDEN Casper,rider/casper-van-uden,167,Team Picnic PostNL,team/team-picnic-postnl-2025,148,DF,23,NL,4:06:32,0:00:00,0,0.0
EDMONDSON Alex,rider/alexander-edmondson,162,Team Picnic PostNL,team/team-picnic-postnl-2025,149,DF,31,AU,4:06:32,0:00:00,0,0.0
SCHULTZ Nick,rider/nick-schultz,107,Israel - Premier Tech,team/israel-premier-tech-2025,150,DF,30,AU,4:06:32,0:00:00,0,0.0
CLARKE Simon,rider/simon-clarke,102,Israel - Premier Tech,team/israel-premier-tech-2025,151,DF,38,AU,4:06:32,0:00:00,0,0.0
RIVERA Brandon Smith,rider/brandon-smith-rivera-vargas,86,INEOS Grenadiers,team/ineos-grenadiers-2025,152,DF,29,CO,4:06:32,0:00:00,0,0.0
PEREZ Anthony,rider/anthony-perez,47,Cofidis,team/cofidis-2025,153,DF,34,FR,4:06:32,0:00:00,0,0.0
CASTROVIEJO Jonathan,rider/jonathan-castroviejo,83,INEOS Grenadiers,team/ineos-grenadiers-2025,154,DF,38,ES,4:06:32,0:00:00,0,0.0
VAN BAARLE Dylan,rider/dylan-van-baarle,187,Team Visma | Lease a Bike,team/team-visma-lease-a-bike-2025,155,DF,33,NL,4:06:32,0:00:00,0,0.0
HAMILTON Lucas,rider/lucas-hamilton,84,INEOS Grenadiers,team/ineos-grenadiers-2025,156,DF,29,AU,4:06:32,0:00:00,0,0.0
TARLING Joshua,rider/joshua-tarling,87,INEOS Grenadiers,team/ineos-grenadiers-2025,157,DF,21,GB,4:06:32,0:00:00,0,0.0
